DATE,Dst,Kp
2012-12-1 0:00,11,3.4
2012-12-1 1:00,11,3.4
2012-12-1 2:00,10,3.8
2012-12-1 3:00,13,3.4
2012-12-1 4:00,15,3.4
2012-12-1 5:00,13,4.4
2012-12-1 6:00,11,4.2
2012-12-1 7:00,11,4.9
2012-12-1 8:00,13,4.8
2012-12-1 9:00,17,5.3
2012-12-1 10:00,17,5.6
2012-12-1 11:00,17,5.5
2012-12-1 12:00,16,5.1
2012-12-1 13:00,13,4.6
2012-12-1 14:00,17,3.9
2012-12-1 15:00,22,3.9
2012-12-1 16:00,20,4.7
2012-12-1 17:00,20,4
2012-12-1 18:00,14,6.1
2012-12-1 19:00,7,7.2
2012-12-1 20:00,6,6.9
2012-12-1 21:00,7,8.4
2012-12-1 22:00,5,9
2012-12-1 23:00,5,9.3
2012-12-2 0:00,3,10
2012-12-2 1:00,1,10.7
2012-12-2 2:00,1,10.7
2012-12-2 3:00,5,10.3
2012-12-2 4:00,6,10.3
2012-12-2 5:00,2,9.8
2012-12-2 6:00,0,9.2
2012-12-2 7:00,-3,8.4
2012-12-2 8:00,-2,8
2012-12-2 9:00,-10,9.8
2012-12-2 10:00,-6,10.1
2012-12-2 11:00,-4,9.9
2012-12-2 12:00,0,9.2
2012-12-2 13:00,-5,9.1
2012-12-2 14:00,-3,9.2
2012-12-2 15:00,-4,9.3
2012-12-2 16:00,-5,9.2
2012-12-2 17:00,-4,8.6
2012-12-2 18:00,-2,8.2
2012-12-2 19:00,-1,8.1
2012-12-2 20:00,1,7.4
2012-12-2 21:00,2,7.6
2012-12-2 22:00,1,7.9
2012-12-2 23:00,2,8.1
2012-12-3 0:00,2,8.5
2012-12-3 1:00,1,7.8
2012-12-3 2:00,1,8.2
2012-12-3 3:00,0,8.4
2012-12-3 4:00,-1,8.1
2012-12-3 5:00,0,8.1
2012-12-3 6:00,-1,9
2012-12-3 7:00,0,10.1
2012-12-3 8:00,5,10.2
2012-12-3 9:00,5,10.4
2012-12-3 10:00,8,10.6
2012-12-3 11:00,8,10.6
2012-12-3 12:00,8,10.9
2012-12-3 13:00,9,11
2012-12-3 14:00,8,11
2012-12-3 15:00,6,11.1
2012-12-3 16:00,7,11.5
2012-12-3 17:00,7,11.3
2012-12-3 18:00,8,11.4
2012-12-3 19:00,11,11.8
2012-12-3 20:00,11,12.6
2012-12-3 21:00,11,11.6
2012-12-3 22:00,13,7.5
2012-12-3 23:00,10,9.6
2012-12-4 0:00,12,11.3
2012-12-4 1:00,13,11.3
2012-12-4 2:00,16,10.9
2012-12-4 3:00,15,9.8
2012-12-4 4:00,11,10.2
2012-12-4 5:00,10,10.1
2012-12-4 6:00,5,9.8
2012-12-4 7:00,6,7.3
2012-12-4 8:00,10,6.9
2012-12-4 9:00,12,5.8
2012-12-4 10:00,10,6.8
2012-12-4 11:00,8,3.3
2012-12-4 12:00,5,3.7
2012-12-4 13:00,3,3.8
2012-12-4 14:00,4,3.3
2012-12-4 15:00,4,3.3
2012-12-4 16:00,2,3.1
2012-12-4 17:00,3,2.5
2012-12-4 18:00,3,2.9
2012-12-4 19:00,2,2.7
2012-12-4 20:00,3,2.7
2012-12-4 21:00,5,2.7
2012-12-4 22:00,4,2.4
2012-12-4 23:00,2,1.8
2012-12-5 0:00,1,2.3
2012-12-5 1:00,1,2.3
2012-12-5 2:00,1,1.8
2012-12-5 3:00,1,2.3
2012-12-5 4:00,1,2.6
2012-12-5 5:00,1,2.3
2012-12-5 6:00,0,2
2012-12-5 7:00,-1,2.3
2012-12-5 8:00,0,2.4
2012-12-5 9:00,4,2.5
2012-12-5 10:00,9,2.8
2012-12-5 11:00,9,2.6
2012-12-5 12:00,8,2.5
2012-12-5 13:00,7,2.7
2012-12-5 14:00,7,3.1
2012-12-5 15:00,8,3
2012-12-5 16:00,6,3.1
2012-12-5 17:00,5,2.9
2012-12-5 18:00,5,3.1
2012-12-5 19:00,6,3.1
2012-12-5 20:00,6,3.1
2012-12-5 21:00,7,3
2012-12-5 22:00,6,3
2012-12-5 23:00,6,3
2012-12-6 0:00,6,2.8
2012-12-6 1:00,5,3.1
2012-12-6 2:00,5,2.8
2012-12-6 3:00,7,2.6
2012-12-6 4:00,7,2.7
2012-12-6 5:00,8,2.7
2012-12-6 6:00,8,3.1
2012-12-6 7:00,6,3.3
2012-12-6 8:00,7,3.1
2012-12-6 9:00,10,2.3
2012-12-6 10:00,11,2.4
2012-12-6 11:00,8,2.5
2012-12-6 12:00,6,2.1
2012-12-6 13:00,4,2.1
2012-12-6 14:00,4,2.1
2012-12-6 15:00,4,2.4
2012-12-6 16:00,5,2.5
2012-12-6 17:00,6,2.7
2012-12-6 18:00,7,2.6
2012-12-6 19:00,7,2.6
2012-12-6 20:00,8,2.7
2012-12-6 21:00,9,2.7
2012-12-6 22:00,9,2.9
2012-12-6 23:00,7,3
2012-12-7 0:00,7,3.1
2012-12-7 1:00,6,3.2
2012-12-7 2:00,5,3.2
2012-12-7 3:00,7,3.1
2012-12-7 4:00,8,3.2
2012-12-7 5:00,9,3
2012-12-7 6:00,10,3.1
2012-12-7 7:00,12,3.2
