DATE,Dst,Kp
2014-3-1 0:00,-33,4.8
2014-3-1 1:00,-33,4.7
2014-3-1 2:00,-32,4.8
2014-3-1 3:00,-32,4.6
2014-3-1 4:00,-34,4.5
2014-3-1 5:00,-39,4.4
2014-3-1 6:00,-46,4.3
2014-3-1 7:00,-51,4.3
2014-3-1 8:00,-52,4.3
2014-3-1 9:00,-50,4.4
2014-3-1 10:00,-48,4.3
2014-3-1 11:00,-46,4.5
2014-3-1 12:00,-43,4.5
2014-3-1 13:00,-41,4.7
2014-3-1 14:00,-37,5
2014-3-1 15:00,-35,5.3
2014-3-1 16:00,-35,5
2014-3-1 17:00,-32,4.6
2014-3-1 18:00,-31,4.4
2014-3-1 19:00,-30,3.9
2014-3-1 20:00,-27,4
2014-3-1 21:00,-23,4.3
2014-3-1 22:00,-24,4.3
2014-3-1 23:00,-24,4.2
2014-3-2 0:00,-28,4.3
2014-3-2 1:00,-29,4.1
2014-3-2 2:00,-30,4.1
2014-3-2 3:00,-28,4.1
2014-3-2 4:00,-26,3.9
2014-3-2 5:00,-26,4.1
2014-3-2 6:00,-26,4.1
2014-3-2 7:00,-24,4
2014-3-2 8:00,-24,3.9
2014-3-2 9:00,-25,3.8
2014-3-2 10:00,-26,3.8
2014-3-2 11:00,-27,3.8
2014-3-2 12:00,-26,3.9
2014-3-2 13:00,-25,3.9
2014-3-2 14:00,-25,3.8
2014-3-2 15:00,-24,3.6
2014-3-2 16:00,-24,3.2
2014-3-2 17:00,-22,3.6
2014-3-2 18:00,-19,3.5
2014-3-2 19:00,-14,3.6
2014-3-2 20:00,-10,3.7
2014-3-2 21:00,-4,3.7
2014-3-2 22:00,-1,3.6
2014-3-2 23:00,-2,3.8
2014-3-3 0:00,-5,3.9
2014-3-3 1:00,-12,4.5
2014-3-3 2:00,-18,5
2014-3-3 3:00,-23,5
2014-3-3 4:00,-25,4.9
2014-3-3 5:00,-26,4.7
2014-3-3 6:00,-24,4.4
2014-3-3 7:00,-25,4.5
2014-3-3 8:00,-25,4.6
2014-3-3 9:00,-24,4.4
2014-3-3 10:00,-22,4.1
2014-3-3 11:00,-22,4.3
2014-3-3 12:00,-25,4.8
2014-3-3 13:00,-23,3.4
2014-3-3 14:00,-19,2.7
2014-3-3 15:00,-15,2.3
2014-3-3 16:00,-12,2.7
2014-3-3 17:00,-12,2.7
2014-3-3 18:00,-12,2.2
2014-3-3 19:00,-9,2.2
2014-3-3 20:00,-6,1.8
2014-3-3 21:00,-4,2
2014-3-3 22:00,-5,3.6
2014-3-3 23:00,-6,4.5
2014-3-4 0:00,-9,5.7
2014-3-4 1:00,-14,5.8
2014-3-4 2:00,-15,6.2
2014-3-4 3:00,-13,5.8
2014-3-4 4:00,-9,6
2014-3-4 5:00,-4,5.7
2014-3-4 6:00,-3,5.6
2014-3-4 7:00,-2,5.5
2014-3-4 8:00,-4,6
2014-3-4 9:00,-9,5.9
2014-3-4 10:00,-16,5.1
2014-3-4 11:00,-19,5.5
2014-3-4 12:00,-17,5.8
2014-3-4 13:00,-17,5.4
2014-3-4 14:00,-15,5.9
